2025-06-12 14:56:03,276 - INFO - System Monitor: Starting system minitoring...
2025-06-12 14:56:03,281 - INFO - CPU: Usage: 8.3%
2025-06-12 14:56:03,281 - INFO - Memory: Usage: 65.8%
2025-06-12 14:56:03,394 - INFO - System Info: Hostname: MSI
2025-06-12 14:56:03,862 - INFO - Software: PID: 7968, Name: svchost.exe, Username: None
2025-06-12 14:56:03,863 - INFO - Software: PID: 8028, Name: dllhost.exe, Username: MSI\minhq
2025-06-12 14:56:03,867 - INFO - Software: PID: 8072, Name: NisSrv.exe, Username: None
2025-06-12 14:56:03,868 - INFO - Software: PID: 8512, Name: PowerToys.Peek.UI.exe, Username: MSI\minhq
2025-06-12 14:56:03,868 - INFO - Software: PID: 8732, Name: Zalo.exe, Username: MSI\minhq
2025-06-12 14:56:03,868 - INFO - Software: PID: 8932, Name: pet.exe, Username: MSI\minhq
2025-06-12 14:56:03,869 - INFO - Software: PID: 9360, Name: svchost.exe, Username: MSI\minhq
2025-06-12 14:56:03,869 - INFO - Software: PID: 9612, Name: Discord.exe, Username: MSI\minhq
2025-06-12 14:56:03,869 - INFO - Software: PID: 9728, Name: PowerToys.CropAndLock.exe, Username: MSI\minhq
2025-06-12 14:56:03,873 - INFO - Software: PID: 9732, Name: svchost.exe, Username: None
2025-06-12 14:56:03,878 - INFO - Software: PID: 9796, Name: svchost.exe, Username: None
2025-06-12 14:56:03,878 - INFO - Software: PID: 9824, Name: nahimicNotifSys.exe, Username: MSI\minhq
2025-06-12 14:56:03,882 - INFO - Software: PID: 9828, Name: svchost.exe, Username: None
2025-06-12 14:56:03,882 - INFO - Software: PID: 9864, Name: Discord.exe, Username: MSI\minhq
2025-06-12 14:56:03,882 - INFO - Software: PID: 9936, Name: Zalo.exe, Username: MSI\minhq
2025-06-12 14:56:03,883 - INFO - Software: PID: 9964, Name: PowerToys.Awake.exe, Username: MSI\minhq
2025-06-12 14:56:03,883 - INFO - Software: PID: 10388, Name: sihost.exe, Username: MSI\minhq
2025-06-12 14:56:03,883 - INFO - Software: PID: 10812, Name: NahimicSvc32.exe, Username: MSI\minhq
2025-06-12 14:56:03,884 - INFO - Software: PID: 11188, Name: brave.exe, Username: MSI\minhq
2025-06-12 14:56:03,884 - INFO - Software: PID: 11416, Name: Zalo.exe, Username: MSI\minhq
2025-06-12 14:56:03,884 - INFO - Software: PID: 11492, Name: brave.exe, Username: MSI\minhq
2025-06-12 14:56:03,884 - INFO - Software: PID: 11504, Name: Zalo.exe, Username: MSI\minhq
2025-06-12 14:56:03,885 - INFO - Software: PID: 11536, Name: PowerToys.exe, Username: MSI\minhq
2025-06-12 14:56:03,885 - INFO - Software: PID: 11588, Name: OmApSvcBroker.exe, Username: MSI\minhq
2025-06-12 14:56:03,889 - INFO - Software: PID: 11972, Name: svchost.exe, Username: None
2025-06-12 14:56:03,890 - INFO - Software: PID: 12052, Name: PowerToys.PowerLauncher.exe, Username: MSI\minhq
2025-06-12 14:56:03,890 - INFO - Software: PID: 12460, Name: msedgewebview2.exe, Username: MSI\minhq
2025-06-12 14:56:03,894 - INFO - Software: PID: 12540, Name: atieclxx.exe, Username: None
2025-06-12 14:56:03,898 - INFO - Software: PID: 12544, Name: svchost.exe, Username: None
2025-06-12 14:56:03,899 - INFO - Software: PID: 12720, Name: ZaloCap.exe, Username: MSI\minhq
2025-06-12 14:56:03,899 - INFO - Software: PID: 13168, Name: brave.exe, Username: MSI\minhq
2025-06-12 14:56:03,899 - INFO - Software: PID: 13224, Name: brave.exe, Username: MSI\minhq
2025-06-12 14:56:03,899 - INFO - Software: PID: 13256, Name: Code.exe, Username: MSI\minhq
2025-06-12 14:56:03,904 - INFO - Software: PID: 13616, Name: svchost.exe, Username: None
2025-06-12 14:56:03,904 - INFO - Software: PID: 13744, Name: svchost.exe, Username: MSI\minhq
2025-06-12 14:56:03,908 - INFO - Software: PID: 13876, Name: svchost.exe, Username: None
2025-06-12 14:56:03,909 - INFO - Software: PID: 13968, Name: taskhostw.exe, Username: MSI\minhq
2025-06-12 14:56:03,909 - INFO - Software: PID: 14220, Name: brave.exe, Username: MSI\minhq
2025-06-12 14:56:03,909 - INFO - Software: PID: 14264, Name: msedgewebview2.exe, Username: MSI\minhq
2025-06-12 14:56:03,910 - INFO - Software: PID: 14344, Name: Discord.exe, Username: MSI\minhq
2025-06-12 14:56:03,910 - INFO - Software: PID: 14404, Name: brave.exe, Username: MSI\minhq
2025-06-12 14:56:03,910 - INFO - Software: PID: 14572, Name: Copilot.exe, Username: MSI\minhq
2025-06-12 14:56:03,910 - INFO - Software: PID: 14620, Name: brave.exe, Username: MSI\minhq
2025-06-12 14:56:03,915 - INFO - Software: PID: 14680, Name: svchost.exe, Username: None
2025-06-12 14:56:03,919 - INFO - Software: PID: 14840, Name: svchost.exe, Username: None
2025-06-12 14:56:03,923 - INFO - Software: PID: 14964, Name: svchost.exe, Username: None
2025-06-12 14:56:03,923 - INFO - Software: PID: 14976, Name: conhost.exe, Username: MSI\minhq
2025-06-12 14:56:03,928 - INFO - Software: PID: 15072, Name: svchost.exe, Username: None
2025-06-12 14:56:03,928 - INFO - Software: PID: 15104, Name: explorer.exe, Username: MSI\minhq
2025-06-12 14:56:03,929 - INFO - Software: PID: 15308, Name: StartMenuExperienceHost.exe, Username: MSI\minhq
2025-06-12 14:56:03,929 - INFO - Software: PID: 15388, Name: WidgetService.exe, Username: MSI\minhq
2025-06-12 14:56:03,929 - INFO - Software: PID: 15436, Name: brave.exe, Username: MSI\minhq
